gene_index,gene_name,cluster_id,is_medoid
86,ENSG00000121966,3,False
87,ENSG00000122188,3,False
95,ENSG00000124256,3,False
103,ENSG00000128340,3,False
112,ENSG00000132465,3,False
116,ENSG00000133110,3,False
127,ENSG00000137265,3,False
135,ENSG00000138755,3,False
136,ENSG00000139329,3,False
144,ENSG00000143297,3,False
146,ENSG00000143632,3,False
148,ENSG00000145423,3,False
152,ENSG00000147168,3,False
174,ENSG00000156234,3,False
176,ENSG00000156738,3,False
182,ENSG00000161405,3,False
209,ENSG00000168685,3,False
212,ENSG00000169245,3,False
217,ENSG00000170476,3,False
221,ENSG00000171903,3,False
222,ENSG00000172061,3,False
223,ENSG00000172724,3,False
240,ENSG00000181195,3,False
241,ENSG00000181617,3,False
242,ENSG00000181847,3,False
265,ENSG00000188257,3,False
271,ENSG00000196188,3,False
298,ENSG00000211592,3,False
299,ENSG00000211598,3,False
300,ENSG00000211611,3,False
301,ENSG00000211625,3,False
302,ENSG00000211637,3,False
303,ENSG00000211638,3,False
304,ENSG00000211640,3,False
305,ENSG00000211644,3,False
306,ENSG00000211648,3,False
307,ENSG00000211649,3,False
308,ENSG00000211651,3,False
309,ENSG00000211652,3,False
310,ENSG00000211653,3,False
311,ENSG00000211655,3,False
312,ENSG00000211659,3,False
313,ENSG00000211660,3,False
314,ENSG00000211662,3,False
315,ENSG00000211663,3,False
316,ENSG00000211664,3,False
317,ENSG00000211666,3,False
318,ENSG00000211668,3,False
319,ENSG00000211669,3,False
320,ENSG00000211673,3,False
321,ENSG00000211675,3,False
322,ENSG00000211677,3,False
323,ENSG00000211679,3,False
324,ENSG00000211685,3,False
325,ENSG00000211772,3,False
327,ENSG00000211890,3,False
328,ENSG00000211892,3,False
329,ENSG00000211893,3,False
330,ENSG00000211895,3,False
331,ENSG00000211896,3,False
332,ENSG00000211897,3,False
333,ENSG00000211898,3,False
334,ENSG00000211899,3,False
335,ENSG00000211900,3,False
336,ENSG00000211933,3,False
337,ENSG00000211934,3,False
338,ENSG00000211935,3,False
339,ENSG00000211937,3,False
340,ENSG00000211938,3,False
341,ENSG00000211941,3,False
342,ENSG00000211943,3,False
343,ENSG00000211945,3,False
344,ENSG00000211947,3,False
345,ENSG00000211949,3,False
346,ENSG00000211950,3,False
347,ENSG00000211951,3,False
348,ENSG00000211955,3,False
349,ENSG00000211956,3,False
350,ENSG00000211959,3,False
351,ENSG00000211962,3,False
352,ENSG00000211964,3,False
353,ENSG00000211965,3,False
354,ENSG00000211966,3,False
355,ENSG00000211967,3,False
356,ENSG00000211970,3,False
357,ENSG00000211972,3,False
358,ENSG00000211973,3,False
359,ENSG00000211974,3,False
360,ENSG00000211976,3,False
362,ENSG00000213886,3,False
